Time,sm_surface
"Sep 4, 2022",0.292
"Sep 4, 2022",0.294
"Sep 5, 2022",0.296
"Sep 5, 2022",0.299
"Sep 5, 2022",0.299
"Sep 5, 2022",0.291
"Sep 5, 2022",0.283
"Sep 5, 2022",0.282
"Sep 5, 2022",0.285
"Sep 5, 2022",0.289
"Sep 6, 2022",0.293
"Sep 6, 2022",0.297
"Sep 6, 2022",0.298
"Sep 6, 2022",0.29
"Sep 6, 2022",0.282
"Sep 6, 2022",0.282
"Sep 6, 2022",0.287
"Sep 6, 2022",0.292
"Sep 7, 2022",0.298
"Sep 7, 2022",0.303
"Sep 7, 2022",0.305
"Sep 7, 2022",0.3
"Sep 7, 2022",0.292
"Sep 7, 2022",0.291
"Sep 7, 2022",0.295
"Sep 7, 2022",0.298
"Sep 8, 2022",0.302
"Sep 8, 2022",0.306
"Sep 8, 2022",0.307
"Sep 8, 2022",0.299
"Sep 8, 2022",0.29
"Sep 8, 2022",0.289
"Sep 8, 2022",0.292
"Sep 8, 2022",0.296
"Sep 9, 2022",0.3
"Sep 9, 2022",0.303
"Sep 9, 2022",0.303
"Sep 9, 2022",0.294
"Sep 9, 2022",0.285
"Sep 9, 2022",0.284
"Sep 9, 2022",0.287
"Sep 9, 2022",0.291
"Sep 10, 2022",0.294
"Sep 10, 2022",0.298
"Sep 10, 2022",0.297
"Sep 10, 2022",0.287
"Sep 10, 2022",0.278
"Sep 10, 2022",0.277
"Sep 10, 2022",0.279
"Sep 10, 2022",0.282
"Sep 11, 2022",0.285
"Sep 11, 2022",0.289
"Sep 11, 2022",0.29
"Sep 11, 2022",0.282
"Sep 11, 2022",0.273
"Sep 11, 2022",0.271
"Sep 11, 2022",0.273
"Sep 11, 2022",0.277
"Sep 12, 2022",0.28
"Sep 12, 2022",0.284
"Sep 12, 2022",0.286
"Sep 12, 2022",0.279
"Sep 12, 2022",0.272
"Sep 12, 2022",0.272
"Sep 12, 2022",0.276
"Sep 12, 2022",0.28
"Sep 13, 2022",0.285
"Sep 13, 2022",0.29
"Sep 13, 2022",0.292
"Sep 13, 2022",0.288
"Sep 13, 2022",0.283
"Sep 13, 2022",0.284
"Sep 13, 2022",0.287
"Sep 13, 2022",0.291
"Sep 14, 2022",0.295
"Sep 14, 2022",0.298
"Sep 14, 2022",0.299
"Sep 14, 2022",0.293
"Sep 14, 2022",0.286
"Sep 14, 2022",0.285
"Sep 14, 2022",0.288
"Sep 14, 2022",0.29
"Sep 15, 2022",0.294
"Sep 15, 2022",0.297
"Sep 15, 2022",0.299
"Sep 15, 2022",0.291
"Sep 15, 2022",0.283
"Sep 15, 2022",0.282
"Sep 15, 2022",0.285
"Sep 15, 2022",0.289
"Sep 16, 2022",0.292
"Sep 16, 2022",0.296
"Sep 16, 2022",0.295
"Sep 16, 2022",0.286
"Sep 16, 2022",0.277
"Sep 16, 2022",0.276
"Sep 16, 2022",0.279
"Sep 16, 2022",0.282
"Sep 17, 2022",0.285
"Sep 17, 2022",0.287
"Sep 17, 2022",0.285
"Sep 17, 2022",0.277
"Sep 17, 2022",0.269
"Sep 17, 2022",0.269
"Sep 17, 2022",0.272
"Sep 17, 2022",0.277
"Sep 18, 2022",0.282
"Sep 18, 2022",0.284
"Sep 18, 2022",0.282
"Sep 18, 2022",0.273
"Sep 18, 2022",0.265
"Sep 18, 2022",0.263
"Sep 18, 2022",0.265
"Sep 18, 2022",0.267
"Sep 19, 2022",0.268
"Sep 19, 2022",0.269
"Sep 19, 2022",0.268
"Sep 19, 2022",0.261
"Sep 19, 2022",0.255
"Sep 19, 2022",0.254
"Sep 19, 2022",0.257
"Sep 19, 2022",0.261
"Sep 20, 2022",0.267
"Sep 20, 2022",0.272
"Sep 20, 2022",0.274
"Sep 20, 2022",0.272
"Sep 20, 2022",0.277
"Sep 20, 2022",0.28
"Sep 20, 2022",0.285
"Sep 20, 2022",0.288
"Sep 21, 2022",0.291
"Sep 21, 2022",0.296
"Sep 21, 2022",0.301
"Sep 21, 2022",0.299
"Sep 21, 2022",0.296
"Sep 21, 2022",0.296
"Sep 21, 2022",0.297
"Sep 21, 2022",0.299
"Sep 22, 2022",0.301
"Sep 22, 2022",0.272
"Sep 22, 2022",0.274
"Sep 22, 2022",0.271
"Sep 22, 2022",0.265
"Sep 22, 2022",0.264
"Sep 22, 2022",0.267
"Sep 22, 2022",0.27
"Sep 23, 2022",0.274
"Sep 23, 2022",0.278
"Sep 23, 2022",0.278
"Sep 23, 2022",0.27
"Sep 23, 2022",0.261
"Sep 23, 2022",0.249
"Sep 23, 2022",0.252
"Sep 23, 2022",0.256
"Sep 24, 2022",0.261
"Sep 24, 2022",0.265
"Sep 24, 2022",0.267
"Sep 24, 2022",0.261
"Sep 24, 2022",0.254
"Sep 24, 2022",0.253
"Sep 24, 2022",0.256
"Sep 24, 2022",0.258
"Sep 25, 2022",0.261
"Sep 25, 2022",0.236
"Sep 25, 2022",0.241
"Sep 25, 2022",0.238
"Sep 25, 2022",0.235
"Sep 25, 2022",0.226
"Sep 25, 2022",0.231
"Sep 25, 2022",0.235
"Sep 26, 2022",0.239
"Sep 26, 2022",0.243
"Sep 26, 2022",0.244
"Sep 26, 2022",0.24
"Sep 26, 2022",0.235
"Sep 26, 2022",0.235
"Sep 26, 2022",0.217
"Sep 26, 2022",0.223
"Sep 27, 2022",0.228
"Sep 27, 2022",0.228
